modelo,r2_medio,r2_desv,parametros
LightGBM,0.7832,0.0016,"{""colsample_bytree"": 0.74695, ""learning_rate"": 0.01837, ""min_child_samples"": 12, ""n_estimators"": 334, ""num_leaves"": 210, ""reg_lambda"": 3.25977, ""subsample"": 0.82732}"
LightGBM,0.7816,0.0022,"{""colsample_bytree"": 0.54684, ""learning_rate"": 0.03493, ""min_child_samples"": 26, ""n_estimators"": 949, ""num_leaves"": 173, ""reg_lambda"": 17.3351, ""subsample"": 0.75724}"
HistGradientBoosting,0.7729,0.0019,"{""l2_regularization"": 0.00746, ""learning_rate"": 0.2537, ""max_depth"": 13, ""max_iter"": 271, ""max_leaf_nodes"": 75, ""min_samples_leaf"": 25}"
HistGradientBoosting,0.7808,0.0017,"{""l2_regularization"": 0.0006, ""learning_rate"": 0.017, ""max_depth"": 13, ""max_iter"": 658, ""max_leaf_nodes"": 102, ""min_samples_leaf"": 28}"
HistGradientBoosting,0.7818,0.0013,"{""l2_regularization"": 0.17966, ""learning_rate"": 0.01212, ""max_depth"": 10, ""max_iter"": 691, ""max_leaf_nodes"": 44, ""min_samples_leaf"": 42}"
HistGradientBoosting,0.7756,0.001,"{""l2_regularization"": 0.0001, ""learning_rate"": 0.29216, ""max_depth"": 3, ""max_iter"": 659, ""max_leaf_nodes"": 72, ""min_samples_leaf"": 26}"
HistGradientBoosting,0.7605,0.0009,"{""l2_regularization"": 0.00011, ""learning_rate"": 0.01082, ""max_depth"": 13, ""max_iter"": 258, ""max_leaf_nodes"": 56, ""min_samples_leaf"": 96}"
HistGradientBoosting,0.78,0.0016,"{""l2_regularization"": 7.39227, ""learning_rate"": 0.02207, ""max_depth"": 5, ""max_iter"": 766, ""max_leaf_nodes"": 78, ""min_samples_leaf"": 7}"
HistGradientBoosting,0.7803,0.0016,"{""l2_regularization"": 1.99389, ""learning_rate"": 0.10113, ""max_depth"": 11, ""max_iter"": 366, ""max_leaf_nodes"": 32, ""min_samples_leaf"": 8}"
HistGradientBoosting,0.7808,0.0015,"{""l2_regularization"": 5.14054, ""learning_rate"": 0.06793, ""max_depth"": 12, ""max_iter"": 545, ""max_leaf_nodes"": 67, ""min_samples_leaf"": 6}"
HistGradientBoosting,0.7826,0.0009,"{""l2_regularization"": 0.26373, ""learning_rate"": 0.04468, ""max_depth"": 9, ""max_iter"": 627, ""max_leaf_nodes"": 22, ""min_samples_leaf"": 51}"
HistGradientBoosting,0.7799,0.0017,"{""l2_regularization"": 0.00074, ""learning_rate"": 0.03781, ""max_depth"": 4, ""max_iter"": 587, ""max_leaf_nodes"": 16, ""min_samples_leaf"": 10}"
HistGradientBoosting,0.7809,0.0013,"{""l2_regularization"": 0.0011, ""learning_rate"": 0.06895, ""max_depth"": 4, ""max_iter"": 755, ""max_leaf_nodes"": 48, ""min_samples_leaf"": 78}"
HistGradientBoosting,0.7807,0.001,"{""l2_regularization"": 2.97945, ""learning_rate"": 0.07641, ""max_depth"": 10, ""max_iter"": 661, ""max_leaf_nodes"": 101, ""min_samples_leaf"": 66}"
HistGradientBoosting,0.7762,0.0009,"{""l2_regularization"": 0.00423, ""learning_rate"": 0.03751, ""max_depth"": 4, ""max_iter"": 252, ""max_leaf_nodes"": 38, ""min_samples_leaf"": 30}"
HistGradientBoosting,0.782,0.0008,"{""l2_regularization"": 6.70311, ""learning_rate"": 0.07882, ""max_depth"": 11, ""max_iter"": 356, ""max_leaf_nodes"": 29, ""min_samples_leaf"": 49}"
HistGradientBoosting,0.7678,0.002,"{""l2_regularization"": 0.00024, ""learning_rate"": 0.28691, ""max_depth"": 10, ""max_iter"": 328, ""max_leaf_nodes"": 122, ""min_samples_leaf"": 12}"
HistGradientBoosting,0.7781,0.0018,"{""l2_regularization"": 0.00011, ""learning_rate"": 0.16015, ""max_depth"": 3, ""max_iter"": 591, ""max_leaf_nodes"": 49, ""min_samples_leaf"": 39}"
HistGradientBoosting,0.762,0.0008,"{""l2_regularization"": 0.71838, ""learning_rate"": 0.01286, ""max_depth"": 9, ""max_iter"": 240, ""max_leaf_nodes"": 42, ""min_samples_leaf"": 11}"
